property_id,square_feet,bedrooms,bathrooms,age_years,distance_to_city_center,property_type,location_tier,has_garden,has_pool,has_garage,furnished,floor,crime_rate,school_rating,hospital_distance,shopping_distance,price
1,1798,2,2,6,11.586042467441274,Studio,Tier 2,0,1,1,0,15,5.371812305998973,7.741453865890738,10.198379475826037,0.21232529303203102,430514.95
2,1417,2,2,6,0.5,Apartment,Tier 2,0,0,1,1,1,11.656596020007107,9.572248082248962,20.44081636064055,0.4600774431918331,476464.55
3,1888,3,4,11,0.5555456318231203,Villa,Tier 3,0,0,0,0,4,36.240408950870304,5.595908984388788,1.8751099751713172,3.712261882300476,800663.01
4,2413,2,2,7,7.6073616636553485,Studio,Tier 2,1,0,0,0,2,32.056303013908135,5.444985892773959,18.331585044410495,0.44307243480010083,373402.7
5,1359,2,2,0,2.1200021672960054,House,Tier 3,0,1,0,1,5,10.649789067727344,5.133603131587401,2.8506803930031976,0.2,437795.77
6,1359,3,2,19,10.01123852454435,Duplex,Tier 1,0,0,1,0,1,7.767033209526364,8.132430796804723,4.7501707207816155,4.48422521969366,1130762.87
7,2447,3,2,20,8.0337672889904,Duplex,Tier 1,0,0,0,0,4,34.200397019145804,5.480293477056123,8.140902671150949,3.1969928831405143,1625503.57
8,1960,4,4,20,8.813106281079321,Apartment,Tier 3,0,0,0,0,0,40.05284744871469,7.839771981655385,2.2269082824011495,6.314975549158748,442390.85
9,1218,3,2,6,3.601887957642664,Apartment,Tier 1,0,0,0,0,2,70.69732500230668,9.03942138145638,1.1677539518673454,2.5859987149256507,658384.12
10,1825,1,4,11,10.212166372051126,Apartment,Tier 2,0,0,1,1,1,45.908257498922126,6.007182934556675,1.5946697350792922,0.2,615822.84
11,1221,2,4,6,17.689767954200047,Apartment,Tier 1,1,1,0,1,1,36.09377194829073,5.856874092614345,9.119848975959528,0.2,658786.79
12,1220,6,1,0,50.0,Duplex,Tier 2,0,0,1,0,15,53.882679073263205,8.004880520198206,13.626601979363492,4.615629808655183,457818.01
13,1645,3,2,12,18.22905837530272,Duplex,Tier 2,0,0,1,1,15,63.88998081661489,7.071791059485588,0.6876206209386283,6.619776843083219,651485.43
14,352,4,4,1,8.153120115549116,Apartment,Tier 3,0,0,1,0,5,12.432163913269818,3.4556526576372795,5.929231102160041,4.832649272160705,76746.31
15,465,1,2,1,2.1496408414860175,Villa,Tier 3,0,1,0,0,4,29.918198234693932,9.29781465336148,0.5,1.4053914512150083,191864.61
16,1162,3,1,21,11.439628847172825,Villa,Tier 3,0,0,0,0,1,60.974597916201354,7.827996856706065,10.395369713748854,3.254747484979533,451626.8
17,892,1,2,0,27.750523233420935,House,Tier 3,1,0,0,1,2,13.229972040277849,6.429449655851206,9.718501036061898,0.2429680572549367,179425.3
18,1688,3,3,47,2.3808783764307826,Villa,Tier 3,1,0,1,0,2,16.677869470907016,6.368694474501281,7.449456146187677,3.800062973959876,740465.2
19,955,5,3,10,2.9570835777736058,Duplex,Tier 3,1,0,1,0,10,18.968710500143796,8.05040675524873,8.697197815210298,0.8614075658591622,452483.7
20,652,5,1,61,1.6135318972079138,Apartment,Tier 3,0,1,1,1,2,4.7639967412197075,6.932681415859717,4.636120120616684,8.168291862769681,166811.15
21,2379,3,1,0,13.345434172501678,Apartment,Tier 2,0,0,0,1,25,7.10885354109284,7.085873420459336,0.7967827909759401,1.236147681556312,1174794.51
22,1364,3,4,13,5.218216986487219,Apartment,Tier 2,1,0,1,1,10,24.869069344861387,7.226064408590581,12.29958728282653,1.2433255454150811,593638.17
23,1540,5,3,6,0.6474722439339033,House,Tier 3,0,0,1,0,25,42.614377841464886,5.771424030836052,0.7600656993222082,1.0119850473962826,563900.33
24,645,3,3,27,20.790415536079728,House,Tier 2,0,0,1,1,3,21.788392937528254,6.458874051565582,1.2757449229550173,3.011363901234791,262199.2
25,1173,1,3,6,8.157033752176194,House,Tier 3,1,0,1,0,4,25.722777854715112,6.717511789445478,2.8335715436738274,0.30567832650239585,352119.78
26,1566,3,2,4,4.021121734816497,House,Tier 2,0,1,1,1,2,14.082915565545889,5.859042496585755,3.4454099406385663,0.2,1044250.16
27,809,2,3,29,4.215685392483961,Studio,Tier 2,1,0,1,0,4,18.646956062174016,7.412086896167681,0.5063876693416969,3.5734181222991133,169397.69
28,1725,3,2,7,3.428442028146227,House,Tier 3,0,0,1,0,25,5.614778586755529,7.726495494378252,7.170676138148022,8.734741248871266,577582.39
29,1139,3,2,0,6.0785092293352525,House,Tier 2,0,0,1,0,0,22.102054741642267,9.529742556993039,0.7384773007659912,4.084524901836959,499804.13
30,1324,3,3,7,4.1104316933753555,Studio,Tier 3,1,0,0,0,2,9.120815862564776,5.858540728013448,5.317575544014971,0.8624848558801661,228614.43
31,1138,3,2,15,7.939543099016665,Studio,Tier 3,0,0,1,0,2,4.232766051073274,8.335685642615491,3.0072241203059287,1.3489835455011447,157122.5
32,2611,2,5,4,14.850865059282379,Apartment,Tier 3,0,0,1,1,25,46.849031263706046,9.137395788503232,8.328344747280376,0.6821227128530274,811079.45
33,1491,3,2,8,11.222738795355372,House,Tier 1,0,0,1,1,1,32.06982365724307,8.424383162423675,1.752073754330608,3.456927962128772,1121375.89
34,865,4,4,0,3.487874078608153,Studio,Tier 2,0,0,1,1,10,26.73831148859473,6.252895997749202,9.055535490994027,0.8128554078342735,267112.35
35,1993,3,4,13,7.523474667461755,Apartment,Tier 2,0,0,1,0,2,22.84684203696394,6.5360896038469,1.4534995974344396,2.5409955885895315,697153.1
36,767,2,2,21,18.333702742290786,House,Tier 3,0,0,1,0,15,22.260492868647354,9.276897063297746,4.270602250587366,5.487787536699148,211332.25
37,1625,5,3,7,0.7064377069579624,House,Tier 1,1,0,0,1,3,14.473826496394073,6.720265393884815,3.3287532227183645,2.1795540021197275,1209433.48
38,324,5,2,8,0.8153252279965716,Apartment,Tier 1,1,0,1,0,1,28.219945537015683,6.954809238398066,2.1737731718625,2.700404367050886,255988.6
39,703,2,4,1,8.12313826075089,Apartment,Tier 1,1,0,0,0,5,42.130376707897625,6.2699377236043565,0.5,10.338609820752293,399561.8
40,1618,1,2,3,10.191962867207366,House,Tier 2,1,0,1,0,10,25.599449185753382,8.160727537614617,2.536230790831737,1.1534741271348588,768311.03
41,1943,4,3,2,2.3751256258973554,Studio,Tier 3,0,0,1,1,3,29.235870121276786,3.3087838785385437,0.6298603717826632,4.78987151183472,307256.66
42,1602,4,2,9,13.673553485591096,Studio,Tier 1,0,0,0,0,5,35.06646675028639,5.7849908006632145,1.275476683040269,3.482833689204041,517565.11
43,1430,5,2,11,10.392026456958131,Duplex,Tier 2,0,1,1,0,1,15.459686547892963,5.530157118381404,5.828571938904653,0.36029168045621274,782846.48
44,1319,4,2,44,25.67713661704149,Apartment,Tier 3,1,0,0,1,20,26.999609979775585,9.382576606758818,4.234856371078113,13.74239535595871,361850.77
45,612,3,2,1,1.8507037356171394,Apartment,Tier 3,0,0,1,0,0,10.476939448494333,7.3483202751397,3.744142207888487,3.509476524522735,128722.34
46,1068,3,3,13,13.91806586992902,Studio,Tier 3,0,0,0,1,1,43.45530476914138,6.697370699755484,4.150757677782389,0.2,138905.25
47,1223,1,3,11,0.8734935109637211,House,Tier 3,1,0,0,0,2,11.51152608798832,6.693981044170405,0.6394701757733063,3.8441810327808557,360679.11
48,2134,2,3,10,8.330816797133329,House,Tier 1,0,0,1,0,1,46.856884824209054,4.927657150340719,0.8994676160475877,0.43123756639256167,1371526.26
49,1706,3,2,30,8.027280103377887,Apartment,Tier 2,0,0,1,0,3,37.66617671547179,9.034292570294902,3.9131847614910216,1.0414902776493975,574567.32
50,442,3,2,3,4.9165235239222005,Apartment,Tier 3,0,1,1,0,3,14.62267666306035,6.472949411375507,2.6113520579831273,1.2848515449294111,112305.53
51,1694,3,1,0,18.615671933437568,House,Tier 3,0,0,0,1,3,32.57569543384187,7.889675582499577,3.110667570152363,1.1121741417724615,453121.14
52,1268,4,3,16,0.5,Apartment,Tier 3,0,0,0,1,0,22.426057632344747,6.015233864029299,10.56612133431694,4.093001869430354,269055.8
53,1093,2,5,6,7.343429988988699,Duplex,Tier 3,0,0,1,1,1,9.130866738193244,6.910057338004631,1.0238440269824725,4.198322357789601,373713.85
54,1867,3,2,0,2.4481870673726505,Apartment,Tier 3,0,0,0,1,10,70.50275700416735,5.621692486944187,12.07867302144817,2.2553129626895076,507851.92
55,2118,1,1,4,13.606212308241389,Duplex,Tier 2,0,0,0,0,10,51.322997186044205,6.627936945721474,9.74162738800797,2.511183641403112,720828.88
56,2058,3,2,5,0.5,Studio,Tier 1,0,0,1,0,2,19.20047405691596,8.561173563081867,11.60312587565887,1.1289229661091857,787137.21
